Price,Close,High,Low,Open,Volume
Ticker,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
Date,,,,,
2001-07-23,27.404460906982422,27.404460906982422,27.404460906982422,27.404460906982422,463095
2001-07-24,29.157516479492188,29.25038494651561,28.42198321861546,28.97548966811052,238341541
2001-07-25,31.189502716064453,31.189502716064453,29.157507257181347,29.157507257181347,94092605
2001-07-26,33.310665130615234,33.310665130615234,32.017915371175924,32.29652364139457,64114300
2001-07-27,33.21779251098633,34.696284778853816,33.032052725753175,34.14277843015323,60369077
2001-07-30,33.21779251098633,33.21779251098633,33.21779251098633,33.21779251098633,0
2001-07-31,35.52468490600586,35.52468490600586,33.032051377592104,33.21779115524453,77956786
2001-08-01,34.04990768432617,35.89616350617338,33.67842525389665,35.803295062322846,61392002
2001-08-02,35.064048767089844,35.24978853868159,33.957036150991705,33.957036150991705,61392002
2001-08-03,35.71043014526367,36.26393655602768,35.06405527397462,35.43181899366924,52895123
2001-08-06,36.817440032958984,36.817440032958984,35.06405247986226,35.338947717126544,48605439
2001-08-07,36.17106246948242,36.910308630286764,35.71042743915961,36.53882904631767,38953644
2001-08-08,36.817440032958984,36.817440032958984,35.71042729964433,36.1710623281675,35422904
2001-08-09,36.26393127441406,37.37094393471265,36.17105994240549,36.63169782555545,32073649
2001-08-10,35.89616775512695,36.3568056771832,35.61755950558795,36.263934337330554,24187224
2001-08-13,35.617557525634766,36.449672105816575,35.338946406574074,36.17106098675588,23774757
2001-08-14,36.17106246948242,36.17106246948242,34.60341470152002,35.8032987776566,27965449
2001-08-15,36.26393127441406,36.63169782555545,35.803296276273336,35.89616472327268,18742625
2001-08-16,35.156925201416016,36.26393806913395,35.156925201416016,35.98532690591451,26464060
2001-08-17,35.43181610107422,35.43181610107422,34.41767470787372,35.24979220229947,31694177
2001-08-20,37.09232711791992,37.738701795639116,35.0640447733431,35.0640447733431,70796311
2001-08-21,37.64583969116211,38.01731925448003,36.72456968173143,37.37094446810573,44513739
2001-08-22,36.17106246948242,37.64584178395726,36.17106246948242,37.278075207122015,43045344
2001-08-23,35.98532485961914,36.81744240937942,35.43181845723516,36.44967581024309,41609948
2001-08-24,35.064048767089844,35.71042351843023,34.87830611048898,35.71042351843023,35785877
2001-08-27,35.617557525634766,35.71042597531545,35.06405117950434,35.52468619094476,22405355
2001-08-28,34.78544616699219,35.89617206122145,34.60341935764853,35.89617206122145,24649193
2001-08-29,35.338951110839844,36.078197339748264,34.32480961826806,34.60341788940734,77016358
2001-08-30,36.21931838989258,36.21931838989258,36.21931838989258,36.21931838989258,6212299
2001-08-31,37.38359451293945,38.0308344006759,36.99674180861151,37.38359451293945,46870035
2001-09-03,36.73635482788086,37.77045023318934,36.479691400738055,37.64397605494482,14385935
2001-09-04,37.77045822143555,37.77045822143555,37.12321824413786,37.38359968586112,19445003
2001-09-05,36.349510192871094,37.900650878386934,36.349510192871094,37.900650878386934,14478530
2001-09-06,35.05502700805664,36.2193147018101,34.66817139308889,36.2193147018101,14284920
2001-09-07,35.95893859863281,35.95893859863281,34.020942121539825,34.020942121539825,8535596
2001-09-10,36.0891227722168,36.21931782691418,35.05503003270272,35.57207784688878,7862178
2001-09-11,33.63408660888672,36.08912809860046,33.63408660888672,36.08912809860046,23317168
2001-09-12,33.63408660888672,33.63408660888672,33.63408660888672,33.63408660888672,0
2001-09-13,31.305505752563477,31.305505752563477,31.305505752563477,31.305505752563477,1346838
2001-09-14,29.233606338500977,30.397891277012917,29.233606338500977,29.233606338500977,32500935
2001-09-17,29.233606338500977,29.233606338500977,29.233606338500977,29.233606338500977,0
2001-09-18,29.233606338500977,29.233606338500977,29.233606338500977,29.233606338500977,0
2001-09-19,30.397886276245117,30.397886276245117,28.32969818969585,28.32969818969585,20640323
2001-09-20,29.363784790039062,30.011024549800354,29.363784790039062,29.363784790039062,11818520
2001-09-21,28.459897994995117,28.716561511644063,28.459897994995117,28.459897994995117,12534029
2001-09-24,30.141220092773438,30.39788351706975,28.716551178855298,28.846743315167142,19083039
2001-09-25,30.78474235534668,32.209408532092425,30.784742355346676,31.692363668979763,34066637
2001-09-26,32.85664367675781,32.85664367675781,31.04511927165719,31.822548322548943,26524331
2001-09-27,33.373687744140625,33.50388276150803,31.692358395535933,32.33959530112521,16069484
2001-09-28,32.59626770019531,33.89074475725197,32.07922278051359,33.63408127754741,20463550
2001-10-01,32.59626770019531,32.59626770019531,32.59626770019531,32.59626770019531,0
2001-10-02,30.658275604248047,32.5962720433518,30.39789412957742,32.5962720433518,13493653
2001-10-03,30.011030197143555,30.65826718984198,29.493982461619765,29.493982461619765,8990156
2001-10-04,30.914932250976562,32.07921992897968,30.784742986989563,32.07921992897968,17492086
2001-10-05,31.045120239257812,31.431975797097287,30.14121987705616,31.045120239257812,10177060
2001-10-08,30.78474235534668,30.914931616662447,30.397886753549788,30.397886753549788,7845341
2001-10-09,31.69236183166504,31.82255108543329,31.045121967043908,31.045121967043908,7550722
2001-10-10,31.69236183166504,31.692361831665036,31.692361831665036,31.692361831665036,0
2001-10-11,33.11331558227539,33.634081352244294,32.33960429231277,32.469796457019505,26566419
2001-10-12,32.85664367675781,33.76054401078709,32.339595999653376,33.63407272764957,24680844
2001-10-15,33.373687744140625,33.76054328156676,32.07921393296207,32.33959530112521,19714371
2001-10-16,33.373687744140625,33.50388276150803,32.856642967061525,33.24349850448767,7045655
2001-10-17,32.339599609375,33.37369219015122,31.949026060669855,33.37369219015122,32930241
2001-10-18,32.98685073852539,33.243514269155774,31.822562726016404,31.949036955255742,12988589
2001-10-19,33.24351119995117,33.89074835271577,32.46979982962395,32.98684769301722,20766591
2001-10-22,35.31541442871094,35.31541442871094,33.63408170610879,33.76055302300723,28494086
2001-10-23,35.31541442871094,35.70227007776236,34.53798517028812,35.70227007776236,20581399
2001-10-24,36.0891227722168,36.34950710389546,35.05503003270272,35.315414364381375,23275079
2001-10-25,37.38359451293945,37.38359451293945,35.832454180414054,36.21931266245728,29159087
2001-10-26,39.97255325317383,39.97255325317383,38.16102853191761,38.16102853191761,61053947
2001-10-29,39.45178985595703,39.97255854102409,38.93474490907451,39.84236636975733,18089746
2001-10-30,37.643985748291016,38.93474491311346,37.513796465868914,38.547889248599404,21599946
2001-10-31,38.417694091796875,38.9347418874103,37.383598500570024,37.383598500570024,18603229
2001-11-01,40.87645721435547,41.00664937944959,39.58198015057217,39.842364480760416,32888152
2001-11-02,42.42759704589844,42.68798137170919,40.876456527154104,41.65388576664098,46482820
2001-11-05,42.94464111328125,44.62597075983771,42.42759335571787,42.8181669216055,35447148
2001-11-06,42.29741287231445,43.591890158842006,42.040749347111365,43.46169797134535,23232991
2001-11-07,42.68797302246094,43.33520997245076,41.523685482207824,42.8181622710449,20951779
2001-11-08,41.65387725830078,42.55778051582975,41.52368512198882,42.55778051582975,13089601
2001-11-09,42.17092514038086,43.33520978678837,40.74625622020616,41.39349605628042,28283641
